Date,Unix time,MMR
2024-08-28 17:34:33,1724859273,6974
2024-08-28 19:50:19,1724867419,6951
2024-08-28 20:55:24,1724871324,6978
2024-08-28 21:57:58,1724875078,6951
2024-08-28 22:37:59,1724877479,6975
2024-08-28 23:19:14,1724879954,7000
2024-08-28 23:57:44,1724882264,7033
2024-08-29 10:52:24,1724921544,7056
2024-08-29 12:45:15,1724928315,7083
2024-08-29 13:28:59,1724930939,7063
2024-08-29 16:02:19,1724940139,7032
2024-08-29 16:42:44,1724942564,7057
2024-08-29 19:57:56,1724954276,7035
2024-08-29 20:27:26,1724956046,7010
2024-08-29 22:15:00,1724962500,6984
2024-08-29 23:59:30,1724968770,7014
2024-08-30 17:33:23,1725032003,6987
2024-08-30 18:25:53,1725035153,7012
2024-08-30 21:48:21,1725047301,7037
2024-08-30 23:57:40,1725055060,7058
